cluster,household,location_x,location_y,demand
C1,H1,16.7766468,107.2367790,0.16
C1,H2,16.7766468,107.2367790,0.37
C1,H3,16.7766468,107.2367790,0.27
C1,H4,16.7750183,107.2365547,0.21
C1,H5,16.7750183,107.2365547,0.16
C1,H6,16.7750123,107.2365547,0.27
C1,H7,16.7750183,107.2365547,0.19
C1,H8,16.7750183,107.2365547,0.16
C1,H9,16.7769710,107.2352649,0.27
C1,H10,16.7769710,107.2352649,0.16
C1,H11,16.7769710,107.2352649,0.13
C1,H12,16.7769710,107.2352649,0.11
C1,H13,16.7766468,107.2367790,0.16
C1,H14,16.7766468,107.2367790,0.21
C1,H15,16.7766468,107.2367790,0.19
C2,H16,16.7748340,107.2390898,0.42
C2,H17,16.7772143,107.2410297,0.57
C2,H18,16.7739121,107.2282147,0.28
C2,H19,16.7696034,107.2317573,0.57
C2,H20,16.7767357,107.2299659,0.42
C2,H21,16.7781041,107.2313992,0.28
C2,H22,16.7244424,107.2383810,0.35
C2,H23,16.7713189,107.2255412,0.42
C2,H24,16.7755361,107.2311598,0.35
C2,H25,16.7746992,107.2280340,0.33
C3,H26,16.7980505,107.2213614,0.12
C3,H27,16.7980505,107.2213614,0.05
C3,H28,16.7962374,107.2219535,0.09
C3,H29,16.7962374,107.2219535,0.09
C3,H30,16.7962374,107.2219535,0.11
C3,H31,16.7962374,107.2219535,0.10
C3,H32,16.7962374,107.2219535,0.02
C3,H33,16.7980505.107.2213614,0.09
C3,H34,16.7980505.107.2213614,0.06
C3,H35,16.7980505.107.2213614,0.09
C3,H36,16.7928373,107.2213319,0.14
C3,H37,16.7928373,107.2213319,0.08
C3,H38,16.7928373,107.2213319,0.13
C3,H39,16.7928373,107.2213319,0.12
C3,H40,16.7928373,107.2213319,0.11
C3,H41,16.7922149,107.2216715,0.13
C3,H42,16.7913588,107.2212189,0.08
C3,H43,16.7918933,107.2209677,0.13
C3,H44,16.7915620,107.2218378,0.06
C3,H45,16.7902739,107.2224225,0.07
C3,H46,16.7922672,107.2213325,0.09
C3,H47,16.7915566,107.2222217,0.17
C3,H48,16.7917967,107.2209793,0.16
C3,H49,16.7903118,107.2208279,0.13
C3,H50,16.7894968,107.2208880,0.09
C3,H51,16.7926607,107.2214418,0.14
C3,H52,16.7933264,107.2218827,0.08
C3,H53,16.7926774,107.2215065,0.15
C3,H54,16.7900274,107.2163973,0.07
C3,H55,16.7900274,107.2163973,0.04
C4,H56,16.7730367,107.2162182,0.20
C4,H57,16.7730367,107.2162182,0.26
C4,H58,16.7730367,107.2162182,0.16
C4,H59,16.7730367,107.2162182,0.13
C4,H60,16.7218046,107.214124,0.33
C4,H61,16.7218046,107.214124,0.20
C4,H62,16.7724242,107.2164955,0.20
C4,H63,16.7724582,107.2149039,0.13
C4,H64,16.7724582,107.2149039,0.20
C4,H65,16.7724582,107.2149039,0.16
C4,H66,16.7724582,107.2149039,0.13
C4,H67,16.7724582,107.2149039,0.26
C4,H68,16.7730367,107.2162182,0.20
C4,H69,16.7720197,107.2142123,0.20
C4,H70,16.7720197,107.2142123,0.33
C4,H71,16.7720197,107.2142123,0.13
C4,H72,16.7720197,107.2142123,0.20
C4,H73,16.7720197,107.2142123,0.20
C4,H74,16.7724242,107.2164955,0.23
C4,H75,16.7724242,107.2164955,0.16
C5,H76,16.7780075,107.2485590,0.16
C5,H77,16.7855281,107.2476138,0.07
C5,H78,16.7799056,107.2451197,0.20
C5,H79,16.7789638,107.2474026,0.20
C5,H80,16.7795807,107.2488550,0.19
C5,H81,16.7795332,107.2474680,0.16
C5,H82,16.7839163,107.2494622,0.20
C5,H83,16.7781744,107.2500754,0.16
C5,H84,16.7855281,107.2476138,0.06
C5,H85,16.7799056,107.2451198,0.19
C5,H86,16.7855477,107.2480423,0.19
C5,H87,16.7239168,107.2494622,0.19
C5,H88,16.7797165,107.2457316,0.16
C5,H89,16.7851744,107.2490555,0.12
C5,H90,16.7850142,107.2495276,0.13
C5,H91,16.7787336,107.2468950,0.10
C5,H92,16.7848749,107.2493760,0.13
C5,H93,16.7850633,107.2502045,0.06
C5,H94,16.7789638,107.2474026,0.16
C5,H95,16.7781744,107.2500754,0.16
C6,H96,16.7817382,107.2565828,0.27
C6,H97,16.7779459,107.2553785,0.44
C6,H98,16.7773228,107.2549564,0.36
C6,H99,16.7775128,107.2538691,0.27
C6,H100,16.7785503,107.2554563,0.36
C6,H101,16.7777404,107.2548565,0.36
C6,H102,16.7771093,107.2551502,0.27
C6,H103,16.7781940,107.2557446,0.71
C6,H104,16.7783250,107.2549792,0.71
C6,H105,16.7778945,107.2548923,0.27
C7,H106,16.7789577,107.2414893,0.38
C7,H107,16.7785439,1072421435,0.56
C7,H108,16.7773616,107.2423587,0.66
C7,H109,16.7785660,107.2395441,0.84
C7,H110,16.7785099,107.2421367,0.56
